match_id,cmp_id,homeTeamId,awayTeamId,startTime,endTime,startDate,startingTime,courtId,courtName,quaterFinal,semiFinals,final,referee_id,winningTeam,losingTeam,winningTeamGoals,losingTeamGoals,winningTeamPoints,losingTeamPoints,status,round,isDraw,last_match,is_bye,note,is_forfeited,is_cancel,homeTeamKits,awayTeamKits,homeTeamName,awayTeamName,competitionName,seasonName
97881,430,331,17,1/20/2023 18:45,1/20/2023 20:00,1/20/2023,18:45:00,11,Series Futsal Arena,,,,1,17,331,5,1,3,0,Completed,1,no,no,FALSE,NULL,FALSE,no,0,0,Hume FC,Fitzroy FC,2023/1 Series Futsal Victoria Men,2023/1
97882,430,21,19,1/20/2023 20:00,1/20/2023 21:15,1/20/2023,20:00:00,11,Series Futsal Arena,,,,1,21,19,6,5,0,0,Completed,1,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97883,430,325,18,1/20/2023 21:15,1/20/2023 22:30,1/20/2023,21:15:00,11,Series Futsal Arena,,,,1,18,325,4,1,3,0,Completed,1,no,no,FALSE,NULL,FALSE,no,0,0,Roxburgh Park Gorillas,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
97884,430,22,20,2/21/2023 20:30,2/21/2023 21:45,2/21/2023,20:30:00,11,Series Futsal Arena,,,,1,22,20,2,1,3,0,Completed,1,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Western United FC,2023/1 Series Futsal Victoria Men,2023/1
97885,430,22,331,1/27/2023 18:45,1/27/2023 20:00,1/27/2023,18:45:00,11,Series Futsal Arena,,,,1,331,22,4,2,3,0,Completed,2,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Hume FC,2023/1 Series Futsal Victoria Men,2023/1
97886,430,18,19,1/27/2023 20:00,1/27/2023 21:15,1/27/2023,20:00:00,11,Series Futsal Arena,,,,1,18,19,4,1,3,0,Completed,2,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97887,430,21,325,1/27/2023 21:15,1/27/2023 22:30,1/27/2023,21:15:00,11,Series Futsal Arena,,,,1,21,325,12,3,3,0,Completed,2,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
97888,430,20,17,2/28/2023 20:30,2/28/2023 21:45,2/28/2023,20:30:00,11,Series Futsal Arena,,,,1,17,20,6,2,3,0,Completed,2,no,no,FALSE,NULL,FALSE,no,0,0,Western United FC,Fitzroy FC,2023/1 Series Futsal Victoria Men,2023/1
97889,430,325,19,2/3/2023 18:45,2/3/2023 20:00,2/3/2023,18:45:00,11,Series Futsal Arena,,,,1,325,19,3,1,3,0,Completed,3,no,no,FALSE,NULL,FALSE,no,0,0,Roxburgh Park Gorillas,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97890,430,17,22,2/3/2023 20:00,2/3/2023 21:15,2/3/2023,20:00:00,11,Series Futsal Arena,,,,1,17,22,7,1,3,0,Completed,3,no,no,FALSE,NULL,FALSE,no,0,0,Fitzroy FC,FC Carlton Heart,2023/1 Series Futsal Victoria Men,2023/1
97891,430,18,21,2/3/2023 21:15,2/3/2023 22:30,2/3/2023,21:15:00,11,Series Futsal Arena,,,,1,18,21,5,3,3,0,Completed,3,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,Campbellfield FC,2023/1 Series Futsal Victoria Men,2023/1
97892,430,331,20,3/7/2023 22:30,3/7/2023 23:45,3/7/2023,22:30:00,11,Series Futsal Arena,,,,1,331,20,5,3,3,0,Completed,3,no,no,FALSE,NULL,FALSE,no,0,0,Hume FC,Western United FC,2023/1 Series Futsal Victoria Men,2023/1
97893,430,17,325,2/10/2023 18:45,2/10/2023 20:00,2/10/2023,18:45:00,11,Series Futsal Arena,,,,1,17,325,4,1,3,0,Completed,4,no,no,FALSE,NULL,FALSE,no,0,0,Fitzroy FC,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
97894,430,22,19,2/10/2023 20:00,2/10/2023 21:15,2/10/2023,20:00:00,11,Series Futsal Arena,,,,1,19,22,10,5,3,0,Completed,4,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97895,430,331,18,2/10/2023 21:15,2/10/2023 22:30,2/10/2023,21:15:00,11,Series Futsal Arena,,,,1,331,18,3,2,3,0,Completed,4,yes,no,FALSE,NULL,FALSE,no,0,0,Hume FC,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
97896,430,21,20,2/10/2023 22:30,2/10/2023 23:45,2/10/2023,22:30:00,11,Series Futsal Arena,,,,1,21,20,5,1,3,0,Completed,4,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Western United FC,2023/1 Series Futsal Victoria Men,2023/1
97897,430,22,325,2/17/2023 18:45,2/17/2023 20:00,2/17/2023,18:45:00,11,Series Futsal Arena,,,,1,22,325,9,1,3,0,Completed,5,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
